epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1204,1.38454,3.27905,1.38936,0.86216,0.87616,0.95546,0.68627,0.96572,2.49774,1.16765,0.00016918,0.00016918,0.00016918
2,164.717,1.01114,1.39452,1.09357,0.89292,0.9363,0.97004,0.73129,0.92241,1.81253,1.08289,0.000342624,0.000342624,0.000342624
3,244.089,0.95838,1.02549,1.07453,0.94067,0.82822,0.9073,0.68153,0.89052,1.39844,1.10835,0.000512566,0.000512566,0.000512566
4,338.406,0.96893,0.97815,1.11169,0.87658,0.94588,0.98145,0.72915,0.95268,1.04845,1.17638,0.000679006,0.000679006,0.000679006
5,443.15,0.92542,0.85981,1.10712,0.83945,0.96822,0.97409,0.74184,0.91588,1.07766,1.18729,0.000738548,0.000738548,0.000738548
6,529.149,0.93044,0.75717,1.082,0.91047,0.99553,0.995,0.78062,0.79216,0.76672,1.09374,0.000730935,0.000730935,0.000730935
7,606.896,0.93933,0.71195,1.09753,0.96677,1,0.995,0.76722,0.88005,0.5864,1.18065,0.000723321,0.000723321,0.000723321
8,684.488,0.90754,0.66746,1.07072,0.96527,1,0.995,0.79684,0.78135,0.53536,1.11704,0.000715708,0.000715708,0.000715708
9,762.229,0.88001,0.60899,1.04532,0.90102,0.99385,0.9813,0.80374,0.75406,0.62926,1.0864,0.000708095,0.000708095,0.000708095
10,842.707,0.86645,0.61445,1.04899,0.96854,0.9949,0.995,0.8138,0.75155,0.48444,1.07042,0.000700482,0.000700482,0.000700482
11,918.546,0.83892,0.57759,1.03807,0.97955,0.99866,0.995,0.81174,0.75632,0.45868,1.03753,0.000692869,0.000692869,0.000692869
12,994.372,0.85846,0.58916,1.05442,0.97381,0.99444,0.995,0.82029,0.71627,0.42528,1.03354,0.000685256,0.000685256,0.000685256
13,1070.34,0.81986,0.55125,1.03579,0.97468,1,0.995,0.80985,0.7721,0.42769,1.02049,0.000677643,0.000677643,0.000677643
14,1147.02,0.81781,0.55352,1.03075,0.98476,1,0.995,0.82777,0.72442,0.45606,0.98741,0.00067003,0.00067003,0.00067003
15,1223.2,0.77797,0.50914,1.01308,0.97095,0.98255,0.995,0.80785,0.77914,0.47974,1.02684,0.000662417,0.000662417,0.000662417
16,1299.26,0.79917,0.56398,1.02753,0.96896,1,0.995,0.80383,0.76165,0.45513,1.04222,0.000654804,0.000654804,0.000654804
17,1375.14,0.83206,0.52673,1.04663,0.98159,1,0.995,0.80928,0.77494,0.43417,1.05927,0.00064719,0.00064719,0.00064719
18,1451.11,0.82478,0.53273,1.06742,0.9894,1,0.995,0.83888,0.71555,0.37265,1.00905,0.000639577,0.000639577,0.000639577
19,1526.91,0.80642,0.51764,1.03285,0.99042,0.99626,0.995,0.8207,0.76777,0.36955,1.03597,0.000631964,0.000631964,0.000631964
20,1603.13,0.83065,0.50872,1.0314,0.98379,1,0.995,0.81938,0.75368,0.39033,1.02372,0.000624351,0.000624351,0.000624351
21,1678.92,0.82128,0.54934,1.03521,0.98501,1,0.995,0.8314,0.7174,0.3673,1.01365,0.000616738,0.000616738,0.000616738
22,1755.37,0.76039,0.48713,1.0303,0.9797,1,0.995,0.82822,0.72908,0.37236,1.01148,0.000609125,0.000609125,0.000609125
23,1831.91,0.75727,0.49431,1.00072,0.96133,0.99733,0.995,0.82476,0.72371,0.37143,1.00256,0.000601512,0.000601512,0.000601512
24,1907.92,0.77664,0.46145,1.01172,0.9721,1,0.99399,0.832,0.72059,0.34573,1.03766,0.000593899,0.000593899,0.000593899
25,1984.15,0.79012,0.4805,1.03312,0.98704,0.98292,0.995,0.81564,0.77148,0.38292,1.00982,0.000586286,0.000586286,0.000586286
26,2059.81,0.8256,0.46312,1.03543,0.98448,1,0.995,0.83078,0.7363,0.35169,1.01559,0.000578672,0.000578672,0.000578672
27,2135.76,0.77587,0.46518,1.02391,0.98487,1,0.995,0.82936,0.7261,0.34908,1.01753,0.000571059,0.000571059,0.000571059
28,2211.63,0.74859,0.47066,1.01359,0.99017,1,0.995,0.84503,0.70482,0.33464,0.98756,0.000563446,0.000563446,0.000563446
29,2287.83,0.75656,0.46491,1.01191,0.98629,1,0.995,0.82585,0.74806,0.35718,1.01436,0.000555833,0.000555833,0.000555833
30,2363.97,0.75507,0.43191,1.01293,0.98576,1,0.995,0.83659,0.70232,0.32672,1.01732,0.00054822,0.00054822,0.00054822
31,2440.25,0.7213,0.42411,0.98541,0.87435,0.97869,0.995,0.84086,0.7088,0.44129,0.99742,0.000540607,0.000540607,0.000540607
32,2516.38,0.77683,0.45905,1.01236,0.98695,1,0.995,0.83674,0.72567,0.35587,0.99675,0.000532994,0.000532994,0.000532994
33,2594.39,0.75052,0.44308,1.01153,0.98668,1,0.995,0.83073,0.73437,0.34816,1.02222,0.000525381,0.000525381,0.000525381
34,2675.58,0.76833,0.43995,1.00051,0.98914,0.99653,0.995,0.82061,0.76045,0.34888,1.00563,0.000517768,0.000517768,0.000517768
35,2751.16,0.71985,0.42795,0.99003,0.98599,1,0.995,0.82938,0.72264,0.33157,1.01826,0.000510155,0.000510155,0.000510155
36,2826.58,0.73583,0.4158,0.9878,0.98521,1,0.995,0.85569,0.68552,0.31478,0.99305,0.000502541,0.000502541,0.000502541
37,2903.81,0.70275,0.41737,0.98113,0.98624,1,0.995,0.83649,0.69333,0.31066,0.99956,0.000494928,0.000494928,0.000494928
38,2982.45,0.72135,0.43578,0.99912,0.99143,1,0.995,0.84361,0.68606,0.32065,0.98282,0.000487315,0.000487315,0.000487315
39,3060.2,0.68349,0.41544,0.98346,0.98185,0.99635,0.995,0.85864,0.66701,0.32717,0.97356,0.000479702,0.000479702,0.000479702
40,3138.17,0.74107,0.41105,1.01007,0.9904,1,0.995,0.85024,0.67988,0.32214,0.989,0.000472089,0.000472089,0.000472089
41,3215.97,0.701,0.38951,0.98219,0.99004,1,0.995,0.85296,0.66951,0.30636,0.97691,0.000464476,0.000464476,0.000464476
42,3294.35,0.7076,0.4006,0.98395,0.99215,1,0.995,0.83508,0.70236,0.30033,0.99181,0.000456863,0.000456863,0.000456863
43,3372.62,0.69343,0.38937,0.98601,0.988,1,0.995,0.86146,0.64314,0.29271,0.94905,0.00044925,0.00044925,0.00044925
44,3450.38,0.73638,0.40339,1.02002,0.99074,1,0.995,0.842,0.67346,0.31079,0.96938,0.000441637,0.000441637,0.000441637
45,3528.31,0.71072,0.38259,0.99291,0.98872,1,0.995,0.84867,0.70353,0.31998,0.99946,0.000434024,0.000434024,0.000434024
46,3606.3,0.72161,0.40011,0.98923,0.99017,1,0.995,0.8411,0.69219,0.31537,0.98941,0.000426411,0.000426411,0.000426411
47,3684.63,0.66168,0.37285,0.98106,0.99192,1,0.995,0.84667,0.67942,0.29705,0.98997,0.000418797,0.000418797,0.000418797
48,3763.11,0.69964,0.38421,0.97739,0.99077,1,0.995,0.85072,0.67473,0.32153,0.97706,0.000411184,0.000411184,0.000411184
49,3840.83,0.69015,0.39368,0.98361,0.98792,1,0.995,0.84683,0.65482,0.32314,0.96975,0.000403571,0.000403571,0.000403571
50,3918.73,0.68522,0.3674,0.97323,0.99095,1,0.995,0.85026,0.6735,0.29278,0.98574,0.000395958,0.000395958,0.000395958
51,3997.11,0.67735,0.36522,0.96554,0.99126,1,0.995,0.85412,0.66081,0.2848,0.98562,0.000388345,0.000388345,0.000388345
52,4075.64,0.6746,0.39274,0.98597,0.98811,1,0.995,0.8484,0.67254,0.30254,0.97572,0.000380732,0.000380732,0.000380732
53,4153.54,0.67409,0.38279,0.98949,0.99215,1,0.995,0.86199,0.63176,0.28008,0.95502,0.000373119,0.000373119,0.000373119
54,4231.31,0.64745,0.35342,0.95648,0.99413,1,0.995,0.85223,0.67465,0.28142,0.99714,0.000365506,0.000365506,0.000365506
55,4309.19,0.66444,0.34809,0.96506,0.99137,1,0.995,0.8431,0.67549,0.27468,0.98657,0.000357893,0.000357893,0.000357893
56,4387.4,0.67406,0.34436,0.97086,0.99096,1,0.995,0.8434,0.665,0.27878,0.9859,0.00035028,0.00035028,0.00035028
57,4465.5,0.65361,0.35602,0.96095,0.99424,1,0.995,0.84903,0.66326,0.27554,0.98778,0.000342666,0.000342666,0.000342666
58,4543.55,0.66213,0.35376,0.97465,0.99425,1,0.995,0.83497,0.69376,0.28854,0.98362,0.000335053,0.000335053,0.000335053
59,4622.01,0.67568,0.35027,0.96782,0.99157,1,0.995,0.85171,0.6587,0.28242,0.98113,0.00032744,0.00032744,0.00032744
60,4701.83,0.6498,0.35701,0.9682,0.99291,1,0.995,0.84931,0.6761,0.27941,0.98096,0.000319827,0.000319827,0.000319827
61,4781.94,0.65836,0.34593,0.97742,0.99258,1,0.995,0.84818,0.66836,0.28267,0.98899,0.000312214,0.000312214,0.000312214
62,4860.41,0.64181,0.34823,0.95966,0.99392,1,0.995,0.84221,0.678,0.27717,0.98962,0.000304601,0.000304601,0.000304601
63,4938.67,0.6349,0.33551,0.95666,0.99149,1,0.995,0.84819,0.66077,0.26665,0.98453,0.000296988,0.000296988,0.000296988
64,5018.07,0.62211,0.34512,0.95419,0.99122,1,0.995,0.85641,0.65499,0.26459,0.97039,0.000289375,0.000289375,0.000289375
