epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6581,1.27886,3.40812,1.46452,0.94678,0.95032,0.98949,0.78373,0.72788,7.81766,1.05594,0.00014,0.00014,0.00014
2,118.278,0.82058,1.20362,1.08242,0.83847,1,0.995,0.8181,0.72069,5.17147,1.0059,0.000287129,0.000287129,0.000287129
3,176.038,0.78953,0.99742,1.09919,0.97524,1,0.995,0.85907,0.61375,2.07566,1.04599,0.000431288,0.000431288,0.000431288
4,234.334,0.72311,0.80833,1.07417,0.96208,0.93797,0.995,0.83646,0.62757,0.85481,1.03384,0.000572477,0.000572477,0.000572477
5,290.16,0.73812,0.76002,1.0658,0.95496,0.94747,0.995,0.80233,0.78603,1.05999,1.12516,0.000710696,0.000710696,0.000710696
6,346.186,0.76889,0.67253,1.10548,0.94896,0.98324,0.99222,0.83912,0.71576,0.86922,1.11293,0.000845945,0.000845945,0.000845945
7,402.267,0.69008,0.56921,1.05461,0.86948,0.86445,0.98894,0.8455,0.65629,0.95552,1.09218,0.0009406,0.0009406,0.0009406
8,459.883,0.74567,0.60152,1.09251,0.96849,0.92221,0.995,0.84284,0.6426,0.58731,1.055,0.0009307,0.0009307,0.0009307
9,517.048,0.71217,0.54245,1.06419,0.92253,0.97182,0.98611,0.86169,0.62152,0.65028,1.04339,0.0009208,0.0009208,0.0009208
10,573.01,0.71356,0.53982,1.06984,0.93045,0.91385,0.99197,0.86479,0.57047,0.87403,1.03004,0.0009109,0.0009109,0.0009109
11,628.457,0.68427,0.51043,1.03521,0.89195,0.91667,0.96258,0.83117,0.61419,0.69923,1.05359,0.000901,0.000901,0.000901
12,683.147,0.68965,0.5131,1.0468,0.86771,0.92591,0.995,0.86446,0.61614,0.62348,1.04859,0.0008911,0.0008911,0.0008911
13,737.73,0.68444,0.48348,1.05432,0.92453,0.98721,0.98944,0.83659,0.61126,0.47519,1.0342,0.0008812,0.0008812,0.0008812
14,791.938,0.66924,0.45962,1.04152,0.95436,1,0.98389,0.85752,0.60498,0.42638,1.06875,0.0008713,0.0008713,0.0008713
15,846.573,0.69029,0.46508,1.03202,0.98676,1,0.995,0.86072,0.63018,0.37399,1.04296,0.0008614,0.0008614,0.0008614
16,926.678,0.63973,0.45704,1.0281,0.99029,1,0.995,0.87718,0.57959,0.39482,1.01652,0.0008515,0.0008515,0.0008515
17,981.997,0.65299,0.43907,1.05866,0.98965,1,0.995,0.88595,0.56556,0.34635,1.00578,0.0008416,0.0008416,0.0008416
18,1037.08,0.65062,0.44466,1.0228,0.97766,1,0.995,0.87505,0.56215,0.35946,1.02446,0.0008317,0.0008317,0.0008317
19,1117.53,0.59393,0.41294,0.96928,0.96695,1,0.995,0.87018,0.57819,0.36789,1.02575,0.0008218,0.0008218,0.0008218
20,1174.26,0.63775,0.4212,1.02981,0.99322,1,0.995,0.88423,0.5625,0.3361,0.99244,0.0008119,0.0008119,0.0008119
21,1230.05,0.64002,0.43046,1.0073,0.97739,1,0.995,0.87926,0.52739,0.32358,0.98945,0.000802,0.000802,0.000802
22,1284.47,0.63159,0.41341,1.04274,0.94958,1,0.995,0.88302,0.54509,0.34939,0.98842,0.0007921,0.0007921,0.0007921
23,1339.11,0.6038,0.39822,1.00062,0.96148,0.95321,0.995,0.87918,0.58306,0.39241,1.00675,0.0007822,0.0007822,0.0007822
24,1393.86,0.59643,0.39143,0.99197,0.99114,1,0.995,0.86203,0.59154,0.33479,1.03286,0.0007723,0.0007723,0.0007723
25,1452.9,0.61003,0.38583,1.00413,0.99197,1,0.995,0.86739,0.57344,0.32714,1.0278,0.0007624,0.0007624,0.0007624
26,1507.25,0.60558,0.39599,0.9864,0.98962,1,0.995,0.87924,0.54432,0.30805,1.01698,0.0007525,0.0007525,0.0007525
27,1561.91,0.60851,0.38231,0.97989,0.99012,1,0.995,0.87649,0.57856,0.31697,1.01585,0.0007426,0.0007426,0.0007426
28,1616.86,0.58341,0.36658,0.99836,0.98643,1,0.995,0.88682,0.51268,0.28353,0.98262,0.0007327,0.0007327,0.0007327
29,1671.77,0.58966,0.36216,0.99569,0.99282,1,0.995,0.89924,0.50889,0.28303,0.98439,0.0007228,0.0007228,0.0007228
30,1726.63,0.57898,0.36526,0.99005,0.99121,1,0.995,0.89651,0.52419,0.30732,0.97896,0.0007129,0.0007129,0.0007129
31,1781.46,0.57031,0.36849,0.99687,0.99307,1,0.995,0.902,0.51104,0.2774,0.98017,0.000703,0.000703,0.000703
32,1836.92,0.60722,0.36438,0.99854,0.99139,1,0.995,0.88695,0.50636,0.28129,0.98219,0.0006931,0.0006931,0.0006931
33,1892.43,0.573,0.35295,0.98241,0.99245,1,0.995,0.89049,0.51984,0.28238,0.97582,0.0006832,0.0006832,0.0006832
34,1947.46,0.53612,0.34136,0.95193,0.99262,1,0.995,0.88438,0.53446,0.2729,0.98804,0.0006733,0.0006733,0.0006733
35,2002.53,0.54832,0.34713,0.96547,0.99477,1,0.995,0.89203,0.52011,0.27234,0.96936,0.0006634,0.0006634,0.0006634
36,2057.71,0.6095,0.37876,1.01596,0.99662,1,0.995,0.88385,0.51285,0.28498,0.97944,0.0006535,0.0006535,0.0006535
37,2114.07,0.56127,0.33786,0.96919,0.99214,1,0.995,0.89526,0.51534,0.2751,0.98529,0.0006436,0.0006436,0.0006436
38,2169.72,0.5486,0.33482,0.95102,0.99403,1,0.995,0.90711,0.54137,0.30512,0.99453,0.0006337,0.0006337,0.0006337
39,2225.67,0.56636,0.32857,0.97649,0.99334,1,0.995,0.89732,0.53577,0.26624,0.98679,0.0006238,0.0006238,0.0006238
40,2280.91,0.54874,0.32696,0.96801,0.99378,1,0.995,0.87436,0.57078,0.2742,1.02384,0.0006139,0.0006139,0.0006139
41,2336.08,0.53163,0.31919,0.97351,0.99209,1,0.995,0.90873,0.50917,0.25231,0.99917,0.000604,0.000604,0.000604
42,2391.28,0.5599,0.33233,0.98537,0.98165,1,0.995,0.89638,0.54621,0.3074,1.00774,0.0005941,0.0005941,0.0005941
